words_meteo,sem_con_cat,Noun,id,log_noun,repubblica_freq,freq_maltempo,freq_meteouser_df,freq_chiparla_df
fulmine,1960,11,3.29225607135648,1.04139268515823,2545,8796,821,962
pioggia,1918,10,3.28284860283464,1,19038,551286,2733,5111
temporale,1095,15,3.03941411917614,1.17609125905568,7161,92732,1024,1191
diluvio,957,3,2.98091193777684,0.477121254719662,1323,41160,48,101
nubifragio,957,3,2.98091193777684,0.477121254719662,1117,13982,262,634
grandine,858,2,2.93348728784871,0.301029995663981,507,27763,775,1411
ciclone,493,9,2.69284691927723,0.954242509439325,2277,31462,2115,3534
